OTUID	T00C01	T00C02	T00C03	T00C04	T00C05	T00C06	T00C07	T00C08	T00C09	T00C10	T00C11	T00C12	T00C13	T00C14	T00C15	T00C16	T00C17	T00C18	T00C19	T00C20	T05M01	T05M02	T05M03	T05M04	T05M05	T05M06	T05M07	T05M08	T05M09	T05M10	T05M11	T05M12	T05M13	T05M14	T05M15	T05M16	T05M17	T05M18	T05M19	T05M20	T12M01	T12M02	T12M03	T12M04	T12M05	T12M06	T12M07	T12M08	T12M09	T12M10	T12M11	T12M12	T12M13	T12M14	T12M15	T12M16	T12M17	T12M18	T12M19	T12M20	T21M01	T21M02	T21M03	T21M04	T21M05	T21M06	T21M07	T21M08	T21M09	T21M10	T21M11	T21M12	T21M13	T21M14	T21M15	T21M16	T21M17	T21M18	T21M19	T21M20	T30M01	T30M02	T30M03	T30M04	T30M05	T30M06	T30M07	T30M08	T30M09	T30M10	T30M11	T30M12	T30M13	T30M14	T30M15	T30M16	T30M17	T30M18	T30M19	T30M20
OTU2294	0	2	2	2	2	3	3	1	1	2	1	1	0	5	9	1	1	1	2	3	1	0	0	3	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	2	0	0	0	2	1	3	0	0	1	1	0	0	0	0	1	2	0	0	1	0	4	0	1	0	0	1	3	3	0	1	2	0	0	0	1	2	2	1	1	1	1	0	0	0	3	0	0	0	1	1	2	1	0	0
OTU2296	3	8	1	3	4	1	10	8	2	3	3	4	2	7	12	5	6	7	4	3	4	4	3	7	5	0	0	1	6	4	2	9	2	0	0	6	4	2	4	5	2	1	1	0	8	4	1	0	5	9	2	3	4	2	12	1	8	3	10	6	6	4	4	5	2	2	6	3	8	8	6	4	5	7	7	8	7	4	8	13	6	2	4	2	3	7	4	3	1	1	12	1	5	4	1	4	2	6	2	3
OTU2297	21	7	4	7	14	7	14	10	4	18	17	15	0	6	15	9	1	9	11	18	2	1	2	6	3	4	0	5	5	9	1	2	2	1	2	3	3	3	2	1	7	11	3	0	0	5	1	0	1	2	1	1	2	3	3	3	1	6	5	3	3	0	1	0	2	2	6	8	3	6	5	4	3	5	6	3	3	1	6	3	0	0	6	2	0	0	2	2	4	1	1	0	3	2	1	2	2	1	6	1
OTU230	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2301	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2302	3	0	1	1	1	1	0	2	2	0	1	2	2	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2305	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2315	5	5	1	3	3	3	5	1	4	5	5	3	1	2	4	1	1	1	3	2	1	0	2	3	3	1	0	3	2	1	0	3	1	1	2	1	0	1	1	1	2	7	0	0	1	3	1	0	2	1	0	0	1	1	1	2	2	2	3	3	1	0	2	0	3	1	1	6	1	8	3	3	3	5	5	1	1	0	1	1	1	3	1	3	0	2	2	1	4	1	3	2	1	1	1	2	2	0	4	3
OTU2316	2	8	4	5	11	3	8	6	3	4	4	3	2	5	5	4	2	6	2	6	2	2	2	0	0	2	1	0	3	2	0	2	0	0	0	4	2	1	1	0	4	2	1	0	3	1	1	0	0	0	1	3	2	1	1	2	1	0	2	2	3	2	4	2	7	0	2	0	1	6	2	2	2	8	1	2	2	3	0	2	0	0	2	0	3	1	2	0	0	0	4	0	1	3	1	0	0	1	0	2
OTU2318	0	2	0	0	4	1	2	1	2	0	1	1	0	1	1	2	1	2	4	4	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2323	1	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2325	1	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU234	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2340	169	167	119	188	287	85	268	179	115	126	175	167	66	171	268	235	99	258	228	344	76	85	49	70	65	108	35	51	66	68	53	119	40	24	25	59	54	38	45	66	109	109	99	8	79	109	70	60	63	106	65	41	83	99	116	97	81	89	129	169	63	44	99	34	123	30	89	82	108	194	196	81	107	105	162	96	83	142	67	123	42	67	111	32	75	90	71	49	75	49	138	45	59	38	30	63	41	51	88	85
OTU2343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	1	0	0	3	1	0	0	0	3	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0
