OTUID	T05M01	T05M02	T05M03	T05M04	T05M05	T05M06	T05M07	T05M08	T05M09	T05M10	T05M11	T05M12	T05M13	T05M14	T05M15	T05M16	T05M17	T05M18	T05M19	T05M20	T12M01	T12M02	T12M03	T12M04	T12M05	T12M06	T12M07	T12M08	T12M09	T12M10	T12M11	T12M12	T12M13	T12M14	T12M15	T12M16	T12M17	T12M18	T12M19	T12M20	T21M01	T21M02	T21M03	T21M04	T21M05	T21M06	T21M07	T21M08	T21M09	T21M10	T21M11	T21M12	T21M13	T21M14	T21M15	T21M16	T21M17	T21M18	T21M19	T21M20	T30M01	T30M02	T30M03	T30M04	T30M05	T30M06	T30M07	T30M08	T30M09	T30M10	T30M11	T30M12	T30M13	T30M14	T30M15	T30M16	T30M17	T30M18	T30M19	T30M20
OTU7832	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	4	0	12	6	0	4	0	2	1	0	5	0	1	0	0	8
OTU7836	2	0	101	3	10	13	22	1	2	1	5	3	0	3	9	4	1	16	5	3	15	19	13	64	6	1	29	16	0	6	7	116	5	20	1	1	8	38	0	46	0	13	19	16	15	4	16	0	0	2	0	41	10	33	2	31	3	9	7	6	0	4	19	28	49	7	8	30	3	38	34	12	4	17	36	2	12	3	26	4
OTU7853	2	2	1	2	1	4	2	1	0	1	0	4	3	0	1	1	1	0	1	0	4	3	1	0	3	0	2	0	2	1	0	2	2	2	3	1	0	2	3	2	5	2	1	0	1	0	1	2	4	2	3	0	1	0	4	2	1	6	2	2	1	0	3	1	1	0	1	1	0	0	6	1	2	1	2	0	1	2	0	2
OTU7854	1	0	0	2	1	0	0	0	1	1	4	7	1	1	0	0	1	1	2	2	1	1	1	0	2	1	0	1	2	1	2	2	2	2	1	2	1	1	2	1	3	0	1	2	0	2	1	2	0	5	1	2	0	2	1	2	1	1	2	0	0	0	1	0	3	2	1	2	1	2	1	1	0	1	5	3	0	5	1	3
OTU7857	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU7860	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU7861	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU7864	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU7875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0
OTU7880	2	0	0	1	0	0	0	2	1	0	0	3	0	2	0	3	1	1	0	0	1	1	0	1	2	0	2	1	0	1	0	0	0	4	0	0	1	1	1	2	2	1	1	2	0	1	2	2	0	1	4	0	0	0	2	1	1	4	2	5	0	1	1	0	0	0	0	0	2	2	2	2	1	0	1	0	2	1	6	3
OTU7881	8	0	3	2	2	3	0	4	6	2	2	2	1	1	0	4	1	2	2	1	1	6	0	0	2	1	2	3	0	2	2	2	1	8	2	3	1	5	2	4	1	2	1	1	2	0	3	5	5	3	10	5	3	2	4	1	3	1	3	3	0	3	5	1	0	1	0	2	4	5	2	0	0	1	1	1	2	2	3	4
OTU7882	0	0	2	1	5	0	1	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	5	0	0	1	6	1	2	0	1	0	0	1	0	1	1	1	0	2	0	0	2	2	1	1	0	0	1	0	0	4	0	1	0	0	1	1	0	1	0	2	0	0	0	0
OTU7883	1	0	1	5	0	2	1	1	1	0	0	3	0	0	0	0	0	0	0	2	3	2	1	0	0	0	0	0	2	1	2	2	0	3	3	5	0	0	0	1	0	5	1	0	4	0	4	0	1	2	3	1	1	1	2	1	0	0	2	1	0	2	3	1	0	0	2	0	0	1	5	1	0	2	0	2	0	1	0	2
OTU7886	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	3	0
OTU7887	1	1	0	1	2	0	0	3	1	2	2	0	0	0	1	1	1	1	1	1	1	0	1	0	0	3	0	2	2	1	0	1	1	2	1	0	0	2	2	4	1	1	1	0	0	1	3	1	1	2	3	0	2	1	3	0	2	0	2	2	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	2	2	1
OTU7899	1	0	2	2	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
OTU7902	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU7907	11	11	9	13	11	16	8	12	21	16	13	19	10	3	10	7	18	14	12	11	16	14	7	1	11	30	6	11	15	19	7	10	20	9	12	21	21	6	26	30	11	9	18	8	22	7	14	30	20	28	22	12	19	18	28	19	11	23	22	23	6	24	13	1	17	18	12	8	17	7	38	6	15	4	3	25	4	3	17	13
OTU7908	1	2	1	0	2	0	1	1	1	0	1	1	0	0	0	1	2	2	0	1	3	1	1	0	2	1	2	0	4	1	1	2	4	4	2	1	2	2	0	0	1	0	1	0	2	1	2	0	2	4	4	5	4	3	3	1	4	8	0	5	1	1	0	1	0	0	2	2	6	3	3	1	1	2	1	0	0	1	3	4
OTU791	14	15	7	10	9	15	5	11	6	22	8	20	7	3	9	11	8	11	6	6	12	17	5	0	7	5	6	8	15	10	5	7	10	7	10	18	13	10	12	6	10	7	11	6	18	4	11	9	11	18	28	12	9	10	28	7	12	10	13	10	6	7	13	5	7	16	11	7	6	6	24	9	3	6	4	9	12	4	26	7
OTU7911	20	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	8	0	0	0	0	11	0	0	0	8	0
OTU7913	1	0	0	0	0	1	0	0	0	1	0	0	1	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	3	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	2	0	0	1	0	3	0	3	1
OTU7916	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU7919	3	5	4	1	0	5	2	1	2	0	12	7	0	1	2	3	3	2	3	2	1	0	0	0	1	0	0	0	3	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	1	0	2	0	0	0	0	0	2	0	1	0
OTU7921	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU7936	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
OTU7947	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	1	2	2	2	3	1	0	2	0	3	2	1	1	0	0	0	0	0	2	1	2	6	1	0	0	2	0	1	2	1	0	1	8	0	4	1	3	0	5	2	1	3	9	2	7	0	1	0	2	5
OTU795	2	1	1	1	0	4	0	1	0	1	1	1	1	0	0	0	3	1	0	0	0	0	0	0	1	1	0	1	4	1	1	1	0	2	0	2	2	1	2	1	1	0	1	0	1	1	1	0	2	0	2	0	0	0	2	3	0	1	1	0	1	2	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	1	2	0
OTU796	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	0	0	0	1	0	2	1	1	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU7971	0	0	1	1	1	0	0	1	0	2	0	1	0	0	2	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0
OTU7976	39	3	27	47	26	35	7	24	47	34	22	35	14	7	10	30	24	29	13	24	39	58	33	4	39	78	23	24	21	17	30	33	36	45	22	45	44	31	59	58	34	12	12	8	44	16	52	100	52	187	110	30	73	87	116	59	60	27	48	73	4	14	38	14	10	18	36	15	32	20	21	11	23	24	17	69	16	38	44	40
OTU7977	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	5	1	1	0	3	0	0	2	0	2	2	0	0	1	0	0	2	3	1	2	0	0	0	1	0	0	0	1	0	0	0
OTU7980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU7981	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
