Measure	Value	SampleID	Group
ACE	1955.336	T00C04	T00C
ACE	2188.188	T00C05	T00C
ACE	1848.346	T00C06	T00C
ACE	2186.198	T00C07	T00C
ACE	1849.975	T00C08	T00C
ACE	2019.475	T00C09	T00C
ACE	2109.351	T00C10	T00C
ACE	2189.222	T00C11	T00C
ACE	2242.123	T00C12	T00C
ACE	1417.473	T00C13	T00C
ACE	2065.625	T00C14	T00C
ACE	2201.045	T00C15	T00C
ACE	2163.588	T00C16	T00C
ACE	1594.031	T00C17	T00C
ACE	2070.852	T00C18	T00C
ACE	2305.966	T00C19	T00C
ACE	2106.977	T00C20	T00C
ACE	982.678	T05C01	T05C
ACE	1069.294	T05C02	T05C
ACE	1200.185	T05C03	T05C
ACE	850.45	T05C04	T05C
ACE	1188.659	T05C05	T05C
ACE	1043.742	T05C06	T05C
ACE	1180.527	T05C07	T05C
ACE	1051.953	T05C08	T05C
ACE	1287.172	T05C09	T05C
ACE	1277.803	T05C10	T05C
ACE	1113.567	T05C11	T05C
ACE	1210.394	T05C12	T05C
ACE	1224.012	T05C13	T05C
ACE	1167.717	T05C14	T05C
ACE	1164.896	T05C15	T05C
ACE	1177.467	T05C16	T05C
ACE	1067.231	T05C17	T05C
ACE	944.887	T05C18	T05C
ACE	1220.686	T05C19	T05C
ACE	932.73	T05C20	T05C
ACE	1289.033	T05M01	T05M
ACE	1216.202	T05M02	T05M
ACE	1125.092	T05M03	T05M
ACE	1225.633	T05M04	T05M
ACE	1186.082	T05M05	T05M
ACE	1355.223	T05M06	T05M
ACE	1109.588	T05M07	T05M
ACE	1259.881	T05M08	T05M
ACE	1283.253	T05M09	T05M
ACE	1227.109	T05M10	T05M
ACE	1338.093	T05M11	T05M
ACE	1259.008	T05M12	T05M
ACE	1169.998	T05M13	T05M
ACE	957.813	T05M14	T05M
ACE	1004.433	T05M15	T05M
ACE	1369.135	T05M16	T05M
ACE	1314.057	T05M17	T05M
ACE	1067.148	T05M18	T05M
ACE	1026.673	T05M19	T05M
ACE	1095.775	T05M20	T05M
ACE	842.27	T12C01	T12C
ACE	779.158	T12C02	T12C
ACE	1380.118	T12C03	T12C
ACE	1351.184	T12C04	T12C
ACE	1447.419	T12C05	T12C
ACE	1393.934	T12C06	T12C
ACE	1519.811	T12C07	T12C
ACE	1500.427	T12C08	T12C
ACE	1216.707	T12C09	T12C
ACE	1095.749	T12C10	T12C
ACE	1433.047	T12C11	T12C
ACE	1400.082	T12C12	T12C
ACE	1380.667	T12C13	T12C
ACE	1397.51	T12C14	T12C
ACE	1299.979	T12C15	T12C
