Modu1	Modu2	Both	M1nodes	M2nodes	Pvalues	DF1vsDF2
M7	M2	0	8	62	1	D00C_D21M
M7	M4	4	8	78	0.0872317513195983	D00C_D21M
M7	M1	2	8	71	0.529647843944837	D00C_D21M
M7	M3	0	8	9	1	D00C_D21M
M7	M6	0	8	7	1	D00C_D21M
M7	M5	0	8	5	1	D00C_D21M
M5	M2	1	5	62	0.640598890907786	D00C_D21M
M5	M4	1	5	78	0.734277669029716	D00C_D21M
M5	M1	0	5	71	1	D00C_D21M
M5	M3	1	5	9	0.127304207725764	D00C_D21M
M5	M6	0	5	7	1	D00C_D21M
M5	M5	0	5	5	1	D00C_D21M
M6	M2	2	7	62	0.379227564183079	D00C_D21M
M6	M4	1	7	78	0.844612451927234	D00C_D21M
M6	M1	0	7	71	1	D00C_D21M
M6	M3	0	7	9	1	D00C_D21M
M6	M6	0	7	7	1	D00C_D21M
M6	M5	0	7	5	1	D00C_D21M
M4	M5	0	68	64	1	D00C_D30C
M4	M3	11	68	68	0.798137617133587	D00C_D30C
M4	M4	0	68	6	1	D00C_D30C
M4	M1	0	68	16	1	D00C_D30C
M4	M2	0	68	10	1	D00C_D30C
M2	M5	1	60	64	0.999997938496395	D00C_D30C
M2	M3	19	60	68	0.00719388977319783	D00C_D30C
M2	M4	2	60	6	0.266051605473045	D00C_D30C
M2	M1	0	60	16	1	D00C_D30C
M2	M2	0	60	10	1	D00C_D30C
M3	M5	0	26	64	1	D00C_D30C
M3	M3	2	26	68	0.974765553265416	D00C_D30C
M3	M4	0	26	6	1	D00C_D30C
M3	M1	0	26	16	1	D00C_D30C
M3	M2	0	26	10	1	D00C_D30C
M1	M5	0	73	64	1	D00C_D30C
M1	M3	17	73	68	0.191469983792357	D00C_D30C
M1	M4	0	73	6	1	D00C_D30C
M1	M1	0	73	16	1	D00C_D30C
M1	M2	0	73	10	1	D00C_D30C
M7	M5	0	8	64	1	D00C_D30C
M7	M3	1	8	68	0.818993302182162	D00C_D30C
M7	M4	0	8	6	1	D00C_D30C
M7	M1	0	8	16	1	D00C_D30C
M7	M2	0	8	10	1	D00C_D30C
M5	M5	0	5	64	1	D00C_D30C
M5	M3	1	5	68	0.654650695406593	D00C_D30C
M5	M4	0	5	6	1	D00C_D30C
M5	M1	0	5	16	1	D00C_D30C
M5	M2	0	5	10	1	D00C_D30C
M6	M5	0	7	64	1	D00C_D30C
M6	M3	0	7	68	1	D00C_D30C
M6	M4	0	7	6	1	D00C_D30C
M6	M1	0	7	16	1	D00C_D30C
M6	M2	0	7	10	1	D00C_D30C
