from	to	type
OTU1704	OTU2283	0.8151907
OTU455	OTU4793	0.8150905
OTU2869	OTU6780	0.8149189
OTU4233	OTU4266	0.8148422
OTU4659	OTU4788	-0.8147272
OTU2882	OTU6496	0.8146586
OTU3080	OTU3266	0.8144389
OTU6591	OTU6780	0.8144058
OTU3474	OTU6563	-0.8143235
OTU2847	OTU4774	0.8143048
OTU4196	OTU4784	-0.8142258
OTU6591	OTU8080	0.8140567
OTU5465	OTU7527	0.920566
OTU4204	OTU6750	0.8138477
OTU3148	OTU4793	0.8137666
OTU3282	OTU6780	0.8299993
OTU1874	OTU3524	0.8135638
OTU3142	OTU3245	0.8135569
OTU3142	OTU3536	0.8135411
OTU3090	OTU4188	0.8135325
OTU4482	OTU8289	-0.8134665
OTU4838	OTU7644	0.8134188
OTU3262	OTU4448	-0.8133981
OTU4448	OTU4695	-0.8133855
OTU2771	OTU3992	0.8132791
OTU4669	OTU4788	0.8132339
OTU6780	OTU8285	0.8131166
OTU3150	OTU8218	-0.8128733
OTU6609	OTU6780	0.8128461
OTU4759	OTU8285	0.81255
OTU5653	OTU8055	0.8122551
OTU4796	OTU6518	0.8121063
OTU4001	OTU6749	0.8120281
OTU6578	OTU8876	0.8709453
OTU1425	OTU8876	0.8118887
OTU2759	OTU442	0.8117335
OTU4559	OTU6898	0.8116052
OTU4237	OTU4843	-0.8115159
OTU2765	OTU2847	0.8114942
OTU3383	OTU4291	0.8112743
OTU4291	OTU4659	-0.811075
OTU5570	OTU896	0.8109213
OTU3259	OTU4397	0.8107813
OTU5128	OTU7976	0.8107531
OTU4132	OTU4815	0.8105688
OTU4505	OTU6780	0.8101768
OTU3313	OTU6780	0.8100687
OTU3213	OTU6459	0.8099871
OTU2771	OTU3984	0.8098526
OTU6780	OTU7921	0.8098413
OTU3354	OTU4684	0.8093746
OTU4747	OTU8285	0.8092191
OTU3230	OTU3587	-0.8092176
OTU3442	OTU4246	0.8087964
OTU4784	OTU8228	-0.8086814
OTU1704	OTU5465	0.8252095
OTU6543	OTU8876	0.8084422
OTU4397	OTU4893	0.8082046
OTU4544	OTU4884	0.9276557
OTU3090	OTU4884	0.8183395
OTU3067	OTU7083	0.8234691
OTU3442	OTU4695	0.8572716
OTU4684	OTU6858	0.8712826
OTU4747	OTU6520	0.9117522
OTU3259	OTU4747	0.8219811
OTU5455	OTU7907	0.876332
OTU3080	OTU4747	0.8190972
OTU3266	OTU4758	0.8480423
OTU3259	OTU6780	0.8477231
OTU3266	OTU4394	0.8523186
OTU1605	OTU4132	0.8748392
OTU5455	OTU5653	0.8811586
OTU2765	OTU4788	0.8687137
OTU4132	OTU7083	0.8835424
OTU4793	OTU6578	0.8759083
OTU4238	OTU6475	0.8128771
OTU1605	OTU7083	0.9260225
OTU2351	OTU4238	0.8720005
OTU3442	OTU4767	0.8140564
OTU2340	OTU5455	0.8859966
OTU3148	OTU7424	0.8113698
OTU442	OTU7744	0.834835
OTU4621	OTU4788	0.8623526
OTU3806	OTU455	0.9027566
OTU3282	OTU4796	0.9076537
OTU4788	OTU7882	0.9106343
OTU3266	OTU6858	0.8346111
OTU4132	OTU4793	0.8598102
OTU4659	OTU7921	-0.8561654
OTU455	OTU7440	0.8383569
OTU7083	OTU8657	0.8630569
OTU4684	OTU8080	0.8088982
OTU3457	OTU4621	0.8816969
OTU5465	OTU7083	0.8638959
OTU3245	OTU6578	0.8360986
OTU455	OTU5653	0.862418
OTU2283	OTU7976	0.8566237
OTU4187	OTU4758	0.8755204
OTU3442	OTU6475	0.8589423
OTU2283	OTU8804	0.8534891
OTU3992	OTU6403	0.8505825
OTU5465	OTU6578	0.8725292
OTU4132	OTU7907	0.8362077
OTU4132	OTU7527	0.8860843
OTU3259	OTU4788	0.8668395
OTU3080	OTU4788	0.8665103
OTU4684	OTU4865	0.9111019
OTU4747	OTU5114	0.8893932
OTU4291	OTU6459	0.8613539
OTU4788	OTU7947	0.8465922
OTU4323	OTU4796	0.8799942
OTU4684	OTU7882	0.8843832
OTU4394	OTU4796	0.896901
OTU5455	OTU6543	0.83049
OTU442	OTU7083	0.8468024
OTU2351	OTU6520	0.8603386
OTU4187	OTU4323	0.8492044
OTU3987	OTU8700	0.871152
OTU4659	OTU6609	-0.8399546
OTU442	OTU6543	0.8182848
OTU4621	OTU4796	0.8779429
OTU4132	OTU5765	0.8494875
OTU4187	OTU6858	0.8749223
OTU4323	OTU4788	0.8504538
OTU5455	OTU7527	0.9064386
OTU2351	OTU6475	0.8256274
OTU3148	OTU5455	0.8381403
OTU2283	OTU442	0.8385796
OTU2351	OTU4323	0.842065
OTU3354	OTU4865	0.8278915
OTU3080	OTU4865	0.8329873
OTU3442	OTU6610	0.9064226
OTU3266	OTU4432	0.8136122
OTU3148	OTU5128	0.8283766
OTU1605	OTU5653	0.8444535
OTU4788	OTU6858	0.8328766
OTU2340	OTU5465	0.8867867
OTU5653	OTU7644	0.8540252
OTU7083	OTU8804	0.887816
OTU4684	OTU8285	0.8243327
OTU2756	OTU455	0.8371975
OTU3457	OTU7900	0.8520862
OTU4815	OTU8657	0.8356919
OTU3282	OTU7900	0.8382424
OTU3984	OTU6578	0.8179069
OTU2351	OTU4291	0.8258691
OTU6403	OTU7527	0.8520991
OTU4659	OTU6475	-0.8373014
OTU4187	OTU8285	0.902779
OTU4788	OTU6591	0.8915824
OTU5455	OTU5765	0.8407056
OTU3806	OTU442	0.8358501
OTU3442	OTU4238	0.8372532
OTU4209	OTU4788	0.827442
OTU3806	OTU4815	0.8173676
OTU1704	OTU7527	0.8185722
OTU4505	OTU4865	0.8582146
OTU3266	OTU4187	0.8314645
OTU2351	OTU4394	0.8659345
OTU4187	OTU5114	0.8443087
OTU1605	OTU5465	0.8320478
OTU5465	OTU7424	0.824396
OTU4747	OTU4796	0.8279353
OTU4695	OTU4865	0.826453
OTU4132	OTU7440	0.8701254
OTU2351	OTU4695	0.8144364
OTU455	OTU7083	0.8722552
OTU3536	OTU442	0.8115478
OTU455	OTU7907	0.8129028
OTU4394	OTU4865	0.839941
OTU3457	OTU4266	0.8120753
OTU3992	OTU455	0.8635962
OTU3080	OTU4796	0.8723148
OTU3968	OTU7527	0.8149728
OTU2862	OTU4796	0.8193074
OTU4684	OTU6475	0.855714
OTU5465	OTU6543	0.8087427
OTU3090	OTU4684	0.8172161
OTU455	OTU7744	0.8488516
