id	degree	closeness	betweenness	hub_score	zi_scores	pi_scores	No..module
OTU8804	15	8.01924619085806e-05	409.984312619191	0.526772797173367	0.491960980909398	0.124444444444444	2
OTU4238	5	7.95608242501392e-05	126.937567222841	0.0140212467969625	0.0711448299091866	0	1
OTU3992	8	7.95481664147641e-05	63.4606182747497	0.296099440760519	-0.288759706185951	0	2
OTU3142	5	7.89515237644086e-05	1006.85654687154	0.0129144336803203	0.560925616785962	0.32	3
OTU5475	15	7.93524837327408e-05	450.962635198233	0.00813963760215135	2.2831022689039	0.124444444444444	1
OTU3067	5	7.93965859468043e-05	10.236241957957	0.205912919165657	-0.679120049733625	0	2
OTU8085	19	8.08996035919424e-05	2993.59062064497	0.345992055500485	0.808463976240757	0.664819944598338	1
OTU5528	10	7.99296618975302e-05	105.588405443718	0.395771700684937	-0.15863959167006	0.18	2
OTU5570	16	8.0032012805122e-05	299.556644654899	0.529963259012005	0.361840866393506	0.328125	2
OTU6609	15	7.8976465013426e-05	747.47780901594	0.00298871094222014	2.52887531768109	0	1
OTU1508	9	7.98020908147793e-05	2575.52108902442	0.11972311107647	1.9040720039112	0.567901234567901	5
OTU4838	13	7.95861520095503e-05	279.644360864639	0.487441495149507	0.361840866393506	0	2
OTU5455	23	8.07037365830038e-05	2792.24861481246	0.415462883709482	3.40061155176489	0.627599243856333	3
OTU3488	14	8.04117079446767e-05	964.607631710387	0.314250818722969	0.575649675601062	0.653061224489796	5
OTU2853	3	7.82840144042586e-05	315.659177572536	0.0341878741060862	0	0.444444444444444	9
OTU4192	3	7.86782061369001e-05	10.3244815303534	0.00205989055366411	-0.420401267645193	0	1
OTU2770	14	8.0327737167644e-05	587.360789395717	0.437529061243107	-0.0285194771541681	0.459183673469388	2
OTU4774	5	7.91702953052015e-05	291.574110002786	0.00579782377043946	0.0711448299091866	0	1
OTU442	20	8.02310654685494e-05	785.500789986361	0.618437088964501	0.882321324457072	0.265	2
OTU4702	7	7.98722044728435e-05	623.263975844001	0.0118080892797905	0.562690927463567	1.11022302462516e-16	1
OTU1704	3	7.92141951837769e-05	9.80601081391583	0.0299845401926267	0.0876446276228065	0	3
OTU6898	10	7.96431984708506e-05	88.6047683346296	0.328242705836631	-0.288759706185951	0.34	2
OTU6841	21	8.04828973843058e-05	1227.89554701379	0.569925865142202	0.491960980909398	0.512471655328798	2
OTU4184	1	7.79727095516569e-05	0	0.000652630603731356	-0.911947365199574	0	1
OTU4472	1	1.19316080228132e-05	0	3.39454949409133e-18	-0.577350269189626	0	14
OTU2888	1	7.73275595422208e-05	0	9.84010388395669e-05	-0.566573025970883	0	6
OTU4191	2	7.39207569485512e-05	249	3.70184904495422e-07	0	0	8
OTU6688	6	8.00832866180828e-05	223.482306094492	0.0449665098724369	0.0711448299091866	0.277777777777778	1
OTU4865	12	7.88456989671213e-05	3661.22382319778	0.00155722639563717	3.6054647107238	0.277777777777778	6
OTU7440	15	7.96812749003984e-05	68.5847111467207	0.478145550807554	0.622081095425289	0	2
OTU6602	9	7.95481664147641e-05	26.4116423348012	0.320652799985182	-0.288759706185951	0.197530864197531	2
OTU7449	9	7.98849656494648e-05	81.318060886457	0.346734521082248	-0.288759706185951	0.197530864197531	2
OTU3131	1	1.18906064209275e-05	0	6.78909898818266e-18	NA	0	20
OTU3968	4	7.96431984708506e-05	527.036889975072	0.0921401886377667	0.0876446276228065	0.375	3
OTU6578	22	8.06516654568917e-05	1404.20386426285	0.649167323600453	0.491960980909398	0.557851239669422	2
OTU4387	12	7.99296618975302e-05	128.393095996001	0.444916992068169	0.101600637361723	0.152777777777778	2
OTU6455	1	1.18906064209275e-05	0	6.78909898818266e-18	NA	0	19
OTU1319	2	7.67754318618042e-05	249	9.90120165002632e-05	0.447213595499958	0	10
OTU6780	9	8.02568218298555e-05	363.09366473267	0.184497643814383	-0.420401267645193	0.666666666666667	1
OTU2763	2	7.88270534447422e-05	0.655549716245974	0.0716430724131757	-1.0694803932813	0	2
OTU1234	1	7.82472613458529e-05	0	0.00756529592359549	-0.752772652709081	0	5
OTU3987	9	7.95671546785487e-05	14.0605156533788	0.395006288218906	-0.15863959167006	0	2
OTU4505	4	7.77423618129519e-05	350.020400680832	0.000165092949497301	0.36054647107238	0.375	6
OTU3080	1	7.74533343660445e-05	0	0.000188856458078006	-0.911947365199574	0	1
OTU3303	2	7.73395204949729e-05	249	9.87955262360773e-05	-0.103013277449251	0	6
OTU2828	1	1.20141767285397e-05	0	3.39454949409133e-18	-0.670820393249937	0	11
OTU4214	3	7.89390590464162e-05	9.9683459127969	0.07828975814493	-1.0694803932813	0.444444444444444	2
OTU6404	1	1.18906064209275e-05	0	6.78909898818266e-18	NA	0	18
OTU4199	3	7.91264440576041e-05	3.03333333333333	0.00452028629411824	-0.420401267645193	0	1
OTU6870	2	7.89016884961338e-05	0	0.0621973595537833	-1.0694803932813	0	2
OTU4233	10	8.01924619085806e-05	1719.17543298164	0.0546297203705321	0.808463976240757	0.34	1
OTU4461	1	7.45267551050827e-05	0	4.02680961796769e-07	-0.566573025970883	0	6
OTU1036	1	1.18906064209275e-05	0	6.78909898818266e-18	NA	0	17
OTU2640	5	7.83208020050125e-05	671.149154835797	0.0498776287072983	1.11803398874989	0.48	9
OTU4447	2	7.80701069560465e-05	862.013020403121	0.000658395604905041	-0.755928946018454	0.5	8
OTU4740	2	7.77181938291754e-05	44.1067849192287	0.000157478315043078	-0.566573025970883	0.5	6
OTU2727	2	7.92204705695952e-05	65.2865660893806	0.0270691359744223	-0.385636361540349	0	3
OTU4408	1	7.73275595422208e-05	0	9.84010388395669e-05	-0.566573025970883	0	6
OTU455	16	8.03535556448373e-05	1355.67926969616	0.487544403875084	0.101600637361723	0.4921875	2
OTU7831	6	8.0147471347279e-05	1240.38377525182	0.0533652640660093	-0.174628218868003	0.5	1
OTU4427	4	7.83883358156306e-05	242.340741751309	0.0011228806279594	-0.174628218868003	0	1
OTU4670	7	7.91452314998021e-05	361.220916233598	0.00303487185729765	0.562690927463567	1.11022302462516e-16	1
OTU4282	1	7.85669390320553e-05	0	0.0404661052856757	-1.19960050779719	0	2
OTU3527	1	1.18906064209275e-05	0	6.78909898818266e-18	NA	0	16
OTU3442	7	7.99936005119591e-05	1570.86871582021	0.0625693027147675	1.23986083975613	0.571428571428571	5
OTU1675	5	8.00192046091062e-05	229.356661442834	0.0951433929375896	0.575649675601062	0.56	5
OTU4390	3	7.69526741054252e-05	7.8952713952714	0.000168144483949951	-0.420401267645193	0	1
OTU2857	1	1.18906064209275e-05	0	6.78909898818266e-18	NA	0	15
OTU6541	6	7.94786202511524e-05	505.766472274646	0.142063916861017	0	0.444444444444444	4
