VFAs	VFAsLong	TimeGroup	GP	values
Valerate	Valerate concentration (μM)	D12	Control	0.784314
Valerate	Valerate concentration (μM)	D12	Control	0.882353
Valerate	Valerate concentration (μM)	D12	Treat	0.063596
Valerate	Valerate concentration (μM)	D12	Treat	0.096353
Valerate	Valerate concentration (μM)	D12	Treat	0.102104
Valerate	Valerate concentration (μM)	D12	Treat	0.053602
Valerate	Valerate concentration (μM)	D21	Control	0.882353
Valerate	Valerate concentration (μM)	D21	Control	0.784314
Valerate	Valerate concentration (μM)	D21	Control	0.882353
Valerate	Valerate concentration (μM)	D21	Control	0.784314
Valerate	Valerate concentration (μM)	D21	Treat	0.11293
Valerate	Valerate concentration (μM)	D21	Treat	0.066078
Valerate	Valerate concentration (μM)	D21	Treat	0.065008
Valerate	Valerate concentration (μM)	D21	Treat	0.192048
Valerate	Valerate concentration (μM)	D30	Control	1.176471
Valerate	Valerate concentration (μM)	D30	Control	1.078431
Valerate	Valerate concentration (μM)	D30	Control	0.784314
Valerate	Valerate concentration (μM)	D30	Control	1.176471
Valerate	Valerate concentration (μM)	D30	Treat	0.136721
Valerate	Valerate concentration (μM)	D30	Treat	0.083307
Valerate	Valerate concentration (μM)	D30	Treat	0.085398
Valerate	Valerate concentration (μM)	D30	Treat	0.239753
Caproate	Caproate concentration (μM)	D00	Control	2.068966
Caproate	Caproate concentration (μM)	D00	Control	3.275862
Caproate	Caproate concentration (μM)	D00	Control	2.327586
Caproate	Caproate concentration (μM)	D00	Control	1.982759
Caproate	Caproate concentration (μM)	D00	Treat	2.068966
Caproate	Caproate concentration (μM)	D00	Treat	3.275862
Caproate	Caproate concentration (μM)	D00	Treat	2.327586
Caproate	Caproate concentration (μM)	D00	Treat	1.982759
Caproate	Caproate concentration (μM)	D05	Control	2.5
Caproate	Caproate concentration (μM)	D05	Control	2.413793
Caproate	Caproate concentration (μM)	D05	Control	2.327586
Caproate	Caproate concentration (μM)	D05	Control	2.844828
Caproate	Caproate concentration (μM)	D05	Treat	0.123123
Caproate	Caproate concentration (μM)	D05	Treat	0.11954
Caproate	Caproate concentration (μM)	D05	Treat	0.115488
Caproate	Caproate concentration (μM)	D05	Treat	0.109902
Caproate	Caproate concentration (μM)	D12	Control	0.948276
Caproate	Caproate concentration (μM)	D12	Control	1.034483
Caproate	Caproate concentration (μM)	D12	Control	0.862069
Caproate	Caproate concentration (μM)	D12	Control	0.948276
Caproate	Caproate concentration (μM)	D12	Treat	0.108327
Caproate	Caproate concentration (μM)	D12	Treat	0.111407
Caproate	Caproate concentration (μM)	D12	Treat	0.115143
Caproate	Caproate concentration (μM)	D12	Treat	0.110634
Caproate	Caproate concentration (μM)	D21	Control	0.948276
Caproate	Caproate concentration (μM)	D21	Control	0.862069
Caproate	Caproate concentration (μM)	D21	Control	0.948276
Caproate	Caproate concentration (μM)	D21	Control	0.862069
Caproate	Caproate concentration (μM)	D21	Treat	0.122863
Caproate	Caproate concentration (μM)	D21	Treat	0.123209
Caproate	Caproate concentration (μM)	D21	Treat	0.109318
Caproate	Caproate concentration (μM)	D21	Treat	0.113384
Caproate	Caproate concentration (μM)	D30	Control	1.12069
Caproate	Caproate concentration (μM)	D30	Control	1.12069
Caproate	Caproate concentration (μM)	D30	Control	0.862069
Caproate	Caproate concentration (μM)	D30	Control	1.206897
Caproate	Caproate concentration (μM)	D30	Treat	0.12148
Caproate	Caproate concentration (μM)	D30	Treat	0.113181
Caproate	Caproate concentration (μM)	D30	Treat	0.129192
Caproate	Caproate concentration (μM)	D30	Treat	0.142471
