OTUID	T05C01	T05C02	T05C03	T05C04	T05C05	T05C06	T05C07	T05C08	T05C09	T05C10	T05C11	T05C12	T05C13	T05C14	T05C15	T05C16	T05C17	T05C18	T05C19	T05C20	T12C01	T12C02	T12C03	T12C04	T12C05	T12C06	T12C07	T12C08	T12C09	T12C10	T12C11	T12C12	T12C13	T12C14	T12C15	T12C16	T12C17	T12C18	T12C19	T12C20	T21C01	T21C02	T21C03	T21C04	T21C05	T21C06	T21C07	T21C08	T21C09	T21C10	T21C11	T21C12	T21C13	T21C14	T21C15	T21C16	T21C17	T21C18	T21C19	T21C20	T30C01	T30C02	T30C03	T30C04	T30C05	T30C06	T30C07	T30C08	T30C09	T30C10	T30C11	T30C12	T30C13	T30C14	T30C15	T30C16	T30C17	T30C18	T30C19	T30C20
OTU3267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	15	2	3	5	19	1	0	3	3	8	2	0	3	0	5	1	1	4	6	1	1	14	2	4	0	5	4	11	3	2	7	4	2	2	0	3	1	7	2	4	6	0	1	7	6	1	2	6	0	3	1	1	3	6	0	1	6
OTU3270	0	1	1	0	9	0	10	1	7	15	8	15	5	12	2	0	2	0	1	0	8	5	7	5	24	6	12	31	11	0	6	12	4	14	10	2	0	14	4	3	13	2	2	5	7	0	3	1	8	3	9	5	0	2	2	0	10	0	1	0	4	1	1	8	0	1	6	8	0	0	2	0	1	1	2	1	1	0	1	4
OTU3271	18	13	17	0	19	18	22	19	10	18	9	18	8	30	10	19	7	21	35	10	14	14	11	15	14	17	16	14	8	12	14	12	12	9	14	11	1	26	17	20	10	3	7	2	11	8	16	7	13	5	7	7	2	10	9	5	9	6	15	10	16	9	8	9	7	9	6	12	8	9	14	11	4	13	18	0	14	1	19	11
OTU3275	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
OTU3282	15	29	48	0	7	1	13	21	25	22	9	8	17	9	12	26	2	12	37	16	4	4	14	14	19	18	17	25	14	28	29	23	60	13	21	19	1	22	28	4	10	22	34	19	14	18	22	15	44	23	18	43	0	18	57	30	9	0	10	11	21	12	27	21	13	35	8	11	15	27	15	14	24	37	10	6	21	0	23	27
OTU3284	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	2	2	1	0	2	1	1	1	0	0	2	2	1	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0
OTU3293	0	0	0	0	0	0	3	1	2	2	2	3	0	2	1	0	1	0	1	0	6	0	1	3	1	0	1	1	2	2	0	1	1	1	0	1	1	0	2	0	1	1	1	1	2	1	0	0	0	0	2	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	1	1	0	0	0	1	0	0
OTU3294	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	28	58	27	7	9	15	22	7	17	7	9	5	13	15	8	6	0	2	22	26	8	19	23	15	26	27	9	10	12	19	14	12	5	24	24	9	34	0	95	68	9	21	5	5	21	12	30	15	41	7	12	6	16	42	14	7	28	0	43	4
OTU33	1	0	0	0	5	0	1	0	6	8	4	3	1	0	1	0	0	0	0	0	2	0	2	2	1	4	3	1	2	1	2	1	0	3	2	0	0	0	2	0	1	3	1	2	1	0	0	1	1	2	1	0	0	1	0	1	2	0	0	0	1	0	1	0	0	0	2	2	0	0	1	1	0	0	0	1	1	0	2	0
OTU3303	2	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	97	315	132	90	12	11	18	37	104	79	87	11	14	43	70	33	37	69	121	84	56	147	96	97	63	33	103	74	92	108	117	100	67	19	118	53	176	0	97	94	39	121	117	17	41	170	140	30	127	99	61	79	166	82	140	256	81	0	35	78
